userId,movieId,tag,timestamp
18,4141,Mark Waters,1240597180
65,208,dark hero,1368150078
65,353,dark hero,1368150079
65,521,noir thriller,1368149983
65,592,dark hero,1368150078
65,668,bollywood,1368149876
65,898,screwball comedy,1368150160
65,1248,noir thriller,1368149983
65,1391,mars,1368150055
65,1617,neo-noir,1368150217
65,1694,jesus,1368149925
65,1783,noir thriller,1368149983
65,2022,jesus,1368149925
65,2193,dragon,1368151314
65,2353,conspiracy theory,1368151266
65,2662,mars,1368150055
65,2726,noir thriller,1368149983
65,2840,jesus,1368149925
65,3052,jesus,1368149926
65,5135,bollywood,1368149876
65,6539,treasure,1368149949
65,6874,dark hero,1368150079
65,7013,noir thriller,1368149983
65,7318,jesus,1368149925
65,8529,stranded,1368150012
65,8622,conspiracy theory,1368151266
65,27803,Oscar (Best Foreign Language Film),1305008715
65,27866,New Zealand,1304957153
65,48082,surreal,1304958354
65,48082,unusual,1304958359
65,51884,bollywood,1368149876
65,58652,cute,1304957612
65,58652,emotional,1304957608
65,58652,girls who play boys,1304957403
65,58652,Stephen Chow,1304957388
96,106696,animation,1396097490
96,106696,beautiful,1396097497
96,106696,characters,1396097500
96,106696,Disney,1396097492
96,106696,feminist,1396097502
